design,period_ns,fmax_mhz,luts,regs,occupied_slices,logic_levels,wns_ns,unrouted,dyn_power_mw,static_power_mw,total_power_mw
ascon_aead128,4.142,241.43,1122,728,348,3,+0.142,0,75.0,57.0,132.0
sipcon64_aead,7.171,139.45,874,600,279,27,+0.017,0,26.0,57.0,83.0
tinyjambu_lwc,4.322,231.37,473,533,192,4,+0.283,0,23.0,57.0,80.0
xoodyak_lwc,7.698,129.90,1554,885,491,8,+0.136,0,39.0,57.0,97.0
giftcofb_lwc,8.334,119.99,1530,1005,475,11,+0.191,0,11.0,57.0,68.0
grain128aead_lwc,4.667,214.27,598,915,254,4,+0.188,0,28.0,57.0,85.0
sparkle_lwc,13.438,74.42,2369,1093,715,29,+0.076,0,48.0,57.0,105.0
elephant_lwc,19.950,50.13,4625,2472,1673,28,+0.133,0,9.0,57.0,66.0
isap_lwc,6.093,164.12,2358,1651,726,5,+0.147,0,77.0,57.0,134.0
photonbeetle_lwc,8.131,122.99,2033,1090,612,8,+0.105,0,21.0,57.0,78.0
romulus_n_lwc,5.676,176.18,1498,1430,476,4,+0.236,0,21.0,57.0,78.0
