design,verified,fpga_lut,fpga_reg,fpga_fmax_mhz,fpga_power_mw,fpga_power_measured,sky130_area_um2,sky130_ge,sky130_fmax_mhz,sky130_power_mw,sky130_power_measured
Ascon-AEAD128,yes,1122,728,241.43,132.0,no,62955,16772,260.6,88.000,no
SipCon64,yes,874,600,139.45,83.0,no,48304,12869,58.8,20.300,no
tinyjambu,yes,473,533,231.37,80.0,no,27081,7215,300.6,10.100,no
xoodyak,yes,1554,885,129.90,97.0,no,74590,19872,196.0,19.500,no
giftcofb,yes,1530,1005,119.99,68.0,no,61004,16252,234.1,38.800,no
grain128aead,yes,598,915,214.27,85.0,no,41247,10989,277.3,16.400,no
sparkle,yes,2369,1093,74.42,105.0,no,140097,37323,41.2,109.000,no
elephant,yes,4625,2472,50.13,66.0,no,173446,46208,78.2,38.200,no
isap,yes,2358,1651,164.12,134.0,no,106288,28316,185.9,83.200,no
photonbeetle,yes,2033,1090,122.99,78.0,no,99503,26509,111.6,56.800,no
romulus,yes,1498,1430,176.18,78.0,no,84876,22612,205.1,38.700,no
