label,size_bytes,cycles_per_byte
ascon,16,55.6250
ascon,64,22.7188
ascon,256,15.8984
ascon,1024,14.7578
ascon,4096,13.4126
hybrid_r128,16,33.1250
hybrid_r128,64,13.8438
hybrid_r128,256,8.7734
hybrid_r128,1024,7.6191
hybrid_r128,4096,7.2954
hybrid_r64,16,34.2500
hybrid_r64,64,16.0000
hybrid_r64,256,11.4688
hybrid_r64,1024,10.3906
hybrid_r64,4096,10.1221
tinyjambu,16,238.7500
tinyjambu,64,126.0625
tinyjambu,256,97.8125
tinyjambu,1024,94.8906
tinyjambu,4096,93.9453
xoodyak,16,445.6250
xoodyak,64,165.8125
xoodyak,256,106.6016
xoodyak,1024,87.4199
xoodyak,4096,83.9326
giftcofb,16,3197.5000
giftcofb,64,1599.5312
giftcofb,256,1203.2109
giftcofb,1024,1098.7383
giftcofb,4096,1076.3091
grain,16,3764.0000
grain,64,2016.1250
grain,256,1592.7578
grain,1024,1469.8262
grain,4096,1431.3389
sparkle,16,158.5000
sparkle,64,52.0938
sparkle,256,38.7422
sparkle,1024,26.5527
sparkle,4096,25.3799
elephant,16,32552.1250
elephant,64,20362.9688
elephant,256,14291.7031
elephant,1024,13531.9707
elephant,4096,13621.1763
isap,16,4316.3750
isap,64,1167.7500
isap,256,365.9297
isap,1024,173.2090
isap,4096,128.0991
photonbeetle,16,15600.8750
photonbeetle,64,9748.7812
photonbeetle,256,8282.8281
photonbeetle,1024,7937.8262
photonbeetle,4096,7949.3271
romulus,16,1525.2500
romulus,64,950.2500
romulus,256,802.5000
romulus,1024,772.3555
romulus,4096,760.7549
