label,keybytes,npubbytes,abytes,latency_cycles,cycles_per_byte,MBps,stack_bytes,dec_latency_cycles,dec_cycles_per_byte,dec_MBps,dec_ok
ascon,16,16,16,1354.0,14.9038,210.00,6312,1282.0,13.4517,190.51,1
hybrid_r128,16,16,16,620.0,7.1104,360.56,6312,646.0,8.1050,374.29,1
hybrid_r64,16,16,16,786.0,12.1064,248.39,6312,812.0,10.4092,187.63,1
tinyjambu,16,12,8,3976.0,86.1489,32.47,6312,4032.0,91.9155,31.38,1
xoodyak,16,16,16,6310.0,84.2627,35.27,6312,5970.0,85.9067,30.31,1
giftcofb,16,16,16,51000.0,1054.1782,2.74,6312,51002.0,1076.0493,2.73,1
grain,16,12,8,83090.0,1448.1904,1.91,6312,81412.0,1425.6572,1.94,1
sparkle,16,32,16,3652.0,24.6875,107.02,6312,3688.0,24.6050,117.79,1
elephant,16,12,8,648798.0,13743.9189,0.22,6312,648450.0,13646.7788,0.21,1
isap,16,16,16,68210.0,124.8633,23.28,6312,68182.0,124.4038,22.84,1
photonbeetle,16,16,16,373874.0,7935.7471,0.37,6312,373876.0,7897.1846,0.37,1
romulus,16,16,16,23694.0,742.2124,3.94,6312,24688.0,749.4302,3.77,1
