design,size_bytes,cycles_per_byte
Ascon-AEAD128,16,48.7500
Ascon-AEAD128,64,21.2188
Ascon-AEAD128,256,14.3203
Ascon-AEAD128,1024,11.2832
Ascon-AEAD128,4096,10.8477
SipCon64,16,31.1250
SipCon64,64,14.2500
SipCon64,256,9.8594
SipCon64,1024,8.8652
SipCon64,4096,8.6445
TinyJAMBU-128,16,184.7500
TinyJAMBU-128,64,108.9062
TinyJAMBU-128,256,89.9609
TinyJAMBU-128,1024,85.3359
TinyJAMBU-128,4096,84.3218
Xoodyak,16,362.5000
Xoodyak,64,151.6250
Xoodyak,256,98.1953
Xoodyak,1024,84.9883
Xoodyak,4096,81.6211
GIFT-COFB,16,3112.1250
GIFT-COFB,64,1554.6562
GIFT-COFB,256,1167.1406
GIFT-COFB,1024,1069.7930
GIFT-COFB,4096,1047.3081
Grain-128AEAD,16,3767.8750
Grain-128AEAD,64,2010.2500
Grain-128AEAD,256,1574.5078
Grain-128AEAD,1024,1466.3438
Grain-128AEAD,4096,1429.3867
SPARKLE,16,154.5000
SPARKLE,64,50.8438
SPARKLE,256,31.1797
SPARKLE,1024,25.9707
SPARKLE,4096,24.6494
Elephant (Dumbo),16,32556.1250
Elephant (Dumbo),64,20348.7812
Elephant (Dumbo),256,14285.4922
Elephant (Dumbo),1024,13534.4023
Elephant (Dumbo),4096,13159.7144
ISAP (ISAP-A-128A),16,4218.7500
ISAP (ISAP-A-128A),64,1137.3438
ISAP (ISAP-A-128A),256,365.2031
ISAP (ISAP-A-128A),1024,172.5996
ISAP (ISAP-A-128A),4096,124.5400
PHOTON-Beetle,16,15583.5000
PHOTON-Beetle,64,9741.6875
PHOTON-Beetle,256,8280.0625
PHOTON-Beetle,1024,7932.5977
PHOTON-Beetle,4096,7846.3584
Romulus (Romulus-N),16,1480.3750
Romulus (Romulus-N),64,934.1562
Romulus (Romulus-N),256,786.4062
Romulus (Romulus-N),1024,749.1797
Romulus (Romulus-N),4096,735.9854
