design,key_bytes,npub_bytes,tag_bytes,input_rate_bytes,rounds,rom_bytes,rom_dot_text_bytes,rom_dot_rodata_bytes,ram_bytes,stack_bytes,latency_cycles,cycles_per_byte,throughput_MBps,dec_latency_cycles,dec_cycles_per_byte,dec_throughput_MBps,dec_roundtrip_ok
Ascon-AEAD128,16,16,16,16,12 init/final + 8 per block,15569,13815,0,560,232,1308.0,10.8345,276.97,1316.0,10.7754,269.82,1
hybrid r=64,16,16,16,8,12 init/final + 8 per block,4322,2391,12,568,264,634.0,8.6323,367.46,652.0,8.9004,317.16,1
TinyJAMBU-128,16,12,8,4,1024 (key setup) + 640/1152 (frame),3842,1671,0,584,280,3792.0,84.3066,37.77,3828.0,84.5381,37.30,1
Xoodyak,16,16,16,16,"12 (fixed, every call)",9520,4007,752,696,664,5808.0,81.5459,38.74,5814.0,81.3770,39.05,1
GIFT-COFB,16,16,16,16,40 (GIFT-128),5794,3447,40,584,400,49658.0,1047.3271,3.01,49654.0,1047.2969,3.00,1
Grain-128AEAD,16,12,8,1,320 (init) + 256 (key/acc load),8306,4343,16,704,1040,82426.0,1444.8735,2.16,81276.0,1419.6372,2.21,1
SPARKLE,16,32,16,32,7 (slim) / 11 (big),10382,5575,288,704,384,3632.0,24.6807,126.03,3678.0,24.5776,129.05,1
Elephant (Dumbo),16,12,8,20,80 (Spongent-pi[160]),6975,2887,6,1744,648,646900.0,13150.4902,0.24,647290.0,13161.0454,0.24,1
ISAP (ISAP-A-128A),16,16,16,8,sH=12 sB=1 sE=6 sK=12 (phase-dependent),7065,3127,279,680,584,68126.0,124.2773,24.85,68240.0,124.4561,25.09,1
PHOTON-Beetle,16,16,16,16,12 (PHOTON256),7695,3415,194,736,520,373884.0,7842.8530,0.40,373932.0,7844.0386,0.40,1
Romulus (Romulus-N),16,16,16,16,40 (SKINNY-128-384+),10095,3975,352,808,864,23586.0,739.9917,4.13,24772.0,736.2710,4.13,1
